Study 1 resps,Concept,# Imgs,Type,Sort Method for Colabels,Rule w/ Max F1,Simplified Rule,F1 SCORE,PRECISION,RECALL,SUM OF P+R,SIMPLICITY SCORE (F1/num_concepts),True Pos (tp),All Pos (tp+fp),All Targets (tp+fn),Implicit True Negative (tn),Implicit False Negative (fn),Implicit Unlabeled,Higher F1 than other group of colabels?,Implicit Accuracy (tn/(tn+fn))
0,eat,3181,rel,freq,(food & mouth) | (food & person) | (mouth & plate) | (mouth & table) | (plate & table),(person & food) | (plate & table) | (plate & mouth) | (food & mouth) | (table & mouth),0.1505,0.1171,0.2106,0.3277,0.0151,670,5721,3181,62664,1605,43808,0,0.975026840311814
1,old,4634,attr,freq,(boat) | (look) | (picture),look | boat | picture,0.0776,0.0518,0.1549,0.2067,0.0259,718,13860,4634,90301,3916,13860,0,0.958436375601006
2,nightstand,464,obj,freq,lamp & bed,lamp & bed,0.4817,0.3688,0.694,1.0628,0.2408,322,873,464,102167,8,5902,0,0.999921702960607
3,intersection,392,obj,freq,(direction & road & sign) | (road & sign & street) | (road & stop & street) | (sign & stop & street),(road & stop & street) | (road & direction & sign) | (road & sign & street) | (stop & sign & street),0.1083,0.0623,0.4133,0.4756,0.009,162,2600,392,83118,13,24946,0,0.999843620310113
,,,,,,,,,,,,,,,,,,,
VisualGenome (automatic),eat,3181,rel,F1,(crop) | (giraffe) | (zebra),giraffe | zebra | crop,0.285,0.2355,0.3609,0.5964,0.095,1148,4874,3181,101170,2033,4874,1,0.980300960243404
,old,4634,attr,F1,(brick & building) | (brick & rusty) | (brick & window) | (brick & wooden) | (building & rusty) | (building & wooden) | (rusty & window) | (rusty & wooden),(rusty | building | brick) & (rusty | brick | wooden) & (rusty | building | window | wooden) & (building | brick | window | wooden),0.1599,0.1265,0.2173,0.3438,0.0114,1007,7960,4634,59093,1467,47517,1,0.975776089828269
,nightstand,464,obj,F1,(bed & headboard) | (bedroom & bedspread) | (bedroom & quilt),(quilt & bedroom) | (headboard & bed) | (bedspread & bedroom),0.4153,0.3148,0.6099,0.9247,0.0692,283,899,464,105097,11,2969,1,0.99989534573962
,intersection,392,obj,F1,(crossing & signal) | (crossing & stopped) | (crossing & traffic) | (crossing & trafficlight) | (stopped & traffic) | (stopped & trafficlight),(crossing | stopped) & (trafficlight | traffic | crossing) & (trafficlight | traffic | signal | stopped),0.1915,0.1824,0.2015,0.384,0.0213,79,433,392,104087,135,3855,1,0.998704688069697
